 spain.477.o1: "NO-body expects the Spanish Inquisition!"
 spain.156.o1: "Interesting"
 spain.157.t: "Abolish the Monarchy"
 spain.157.d: "Thousands of people gathered yesterday in dozens of Spanish cities to demand the abolition of the Monarchy and the establishment of the Third Republic. The protests, convened in just a few hours, mainly through social networks, mobilized a large part of the left, who demanded institutional change after the abdication of the King. Madrid probably hosted the largest concentration: about 100,000 people gathered in the Puerta del Sol and adjacent streets, according to police sources."
 spain.157.o1: "«¡Que no se ha marchado, Que lo hemos echao!»"
 spain.158.t: "Assault Guard"
 spain.158.d: "The Corps of Security and Assault is organized militarily and distributed in squads (of twenty five guards), that grouped in companies, are deployed by the main Spanish cities. Its main function is the maintenance of public order and acts normally in case of disturbances. Unlike the other police forces, it does not have as its main function the prosecution of delinquency. With its creation, the maintenance of the public order, is exclusively to its charge in the zones in which it is deployed. The Civil Guard still existing in the Republican Zone is renamed the Republican National Guard."
 spain.158.o1: "¡Viva la República!"
 spain.159.t: "Education Reform"
 spain.159.d: "The majority view advocates a radical anticlericalism that not only advocated the secularization of the State, but also of society, justifying it for the damage that has caused clericalism in the history of Spain, becoming the main obstacle to its progress and modernization. We must deprive the Church of the means by which it exercises its social and cultural hegemony, and above all the most important: education. Thus the program includes suppression of the budget of worship and clergy, civil marriage and divorce, secularization of cemeteries and the most forceful measure: the dissolution of religious orders, especially the Jesuits, and the nationalization of their property , Replacing the religious schools run by a "single" secular school. «More than a free Church in a free State would seek the subjection of the first to the second for the sake of the public good.»"
 spain.159.o1: "¡Viva la República!"
 spain.160.t: "República Democrática Española"
 spain.160.d: "The reforms initiated by the Unidos Podemos government have proved to be ineffective to the current social and economic situation, in addition the majority of its members stand out as a group of opportunists formed by arribistas and union officials, along with the continuous attacks of both the National and international level has radicalized the political situation in Spain, popular support has shifted towards the political option of Popular Unity now led by Pablo Iglesias which has staged an armed insurrection overthrowing the current provisional government."
 spain.160.o1: "¡Viva la República Democrática Española!"
 spain.161.t: "Constitution of the Spanish Democratic Republic"
 spain.161.d: "According to Marxist-Leninist theory, the objective of the successive constitutions of the Socialist Republic of Spain is, after capitalism, to lay the foundations for the development of socialism so that the final phase of development can finally be reached Human, communism. Its nature is mainly descriptive, as it shapes established relations on paper and changes as the socioeconomic scenario changes."
 spain.161.o1: "¡Viva la República Democrática Española!"
 spain.162.t: "Federation of Spanish Women"
 spain.162.d: "It is a women's organization in the Spanish Democratic Republic (RDE). It forms part of the Popular Union of the Spanish Democratic Republic, counting on parliamentary representation in the People's Council. The objectives of the organization were as follows: Elimination of fascist ideas, Education for women, Equal rights, Fair living conditions, Children's education in the spirit of humanism and peace and Cooperation with the international women's movement."
 spain.162.o1: "Long live the anti-fascist struggle!"
 spain.163.t: "Union of Working Youth"
 spain.163.d: "It has been organized as an antifascist youth movement by the Communist Party of Spain through the union of several youth movements. It is the official youth organization in the Spanish Democratic Republic (RDE) and a member of the Popular Unity."
 spain.163.o1: "Long live the anti-fascist struggle!"
 spain.164.t: "General Confederation of the Workers"
 spain.164.d: "It is the only trade union center of the Spanish Democratic Republic (RDE). Originally, it consisted of 15 trade unions at the production level. With the foundation of the Spanish Democratic Republic (RDE) it has become the majority union in the country and in the only one allowed. Almost all the workers of the RDE are affiliated to this union federation."
 spain.164.o1: "Long live the anti-fascist struggle!"
 spain.165.t: "Union of Agricultural Cooperatives"
 spain.165.d: "The Union of Cooperative Farmers is a mass organization of the rural population in the Spanish Democratic Republic, which is hegeminized as all mass organizations by the Communists. The Union is organized in 8000 local groups with 640,000 members."
 spain.165.o1: "Long live the anti-fascist struggle!"
 spain.166.t: "People's Solidarity"
 spain.166.d: "It is a mass organization in the RDE and has an important role in the care of the elderly, the work area also includes care of the environment, chronic long-term care as well as socially disadvantaged children and adolescents. It is one of the great social and welfare associations in Spain. According to the federal norms, it is committed "to the humanist and democratic values and defenders of social justice"."
 spain.166.o1: "Long live the anti-fascist struggle!"
 spain.167.t: "Alliance Anti-Imperialist"
 spain.167.d: "At the last Conference a resolution was adopted on the need for an anti-imperialist alliance of the colonial and national liberation movements along with Socialist Spain and the working class movements to fight against capitalism."
 spain.167.o1: "Long live Solidarity among Peoples!"
 spain.168.t: "World Federation of Democratic Youth"
 spain.168.d: "We pledge that we shall remember this unity, forged in this month, November 1945. Not only today, not only this week, this year, but always Until we have built the world we have dreamed of and fought for We pledge ourselves to build the unity of youth of the world All races, all colors, all nationalities, all beliefs To eliminate all traces of fascism from the earth To build a deep and sincere international friendship among the peoples of the world To keep a just lasting peace To eliminate want, frustration and enforced idleness. We have come to confirm the unity of all youth salute our comrades who have died-and pledge our word that skilful hands, keen brains and young enthusiasm shall never more be wasted in war."
 spain.168.o1: "For Anti-Imperialist Solidarity, Peace and Friendship"
 spain.169.t: "World Federation of Trade Unions"
 spain.169.d: "The World Federation of Trade Unions (WFTU) is an international federation of trade unions founded on October 3, 1945 in Paris. It is the second oldest international trade union organization in the world and founder of the International Labor Organization (ILO). It follows the line of the trade union movement of class and fights against the capitalism and the imperialism, for a society without exploitation of the man by the man. It is communist and Marxist-Leninist."
 spain.169.o1: "Long live Solidarity among Peoples!"
 spain.170.t: "Women's International Democratic Federation"
 spain.170.d: "The main areas of concern initially identified by WIDF were anti-fascism, world peace, child welfare and improving the status of women."
 spain.170.o1: "Long live Solidarity among Peoples!"
 spain.171.t: "World Federation of Scientific Workers"
 spain.171.d: "The WFSW was founded at a conference in London July 20–21, 1946 held at the initiative of the British Association of Scientific Workers. The original conference was attended by 18 organizations, representing 14 countries. The existence of the WFSW constitutes above all a call to the entire scientific community to contribute to placing science and technology at the service of the well-being of mankind. This is why the WFSW is a group of either professional or trade unionist organizations and of individual scientific personalities. The WFSW became more a group of organizations of this type than one of individual scientific personalities. By acting together with its affiliated organizations to obtain a Recommendation by UNESCO in 1974 on the condition of scientific researchers, the WFSW helped enable scientists to conduct emancipated professional activity."
 spain.171.o1: "Long live Solidarity among Peoples!"
 spain.172.t: "International Union of Students"
 spain.172.d: "The purpose of the International Union of Students, which is founded upon the representative student organizations of different countries, shall be to defend the rights and interests of students to promote improvement in their welfare and standard of education and to prepare them for their tasks as democratic citizens."
 spain.172.o1: "Long live Solidarity among Peoples!"
 spain.173.t: "Socialist Awakens"
 spain.173.d: "It has articulated the necessary mechanisms to carry out the work of agitation and propaganda in order to propagate the defense and the achievements of the present Revolution in the Spanish Democratic Republic at the international level."
 spain.173.o1: "Long live the Internationalist Struggle!"
 spain.174.t: "Europe Awakens"
 spain.174.d: "It has articulated the necessary mechanisms to carry out the work of agitation and propaganda in order to propagate the defense and the achievements of the present Revolution in the Spanish Democratic Republic in the European nations."
 spain.174.o1: "Long live the Internationalist Struggle!"
 spain.175.t: "Hispanic America Awakens"
 spain.175.d: "Mechanisms have been articulated to carry out the work of agitation and propaganda in order to propagate the defense and achievements of the present Revolution in the Spanish Democratic Republic in the Ibero-American nations."
 spain.175.o1: "Long live the Internationalist Struggle!"
 spain.176.t: "Socialist Reality Debate"
 spain.176.d: "An invitation has been made to various socialist parties and groups, inviting them to Barcelona to hold an International Socialist Conference with the aim of adapting the tactics for the defense and development of the present socialist movement."
 spain.176.o1: "Long live the Internationalist Struggle!"
 spain.177.t: "Ally With Socialism"
 spain.177.d: "This morning the different representatives of the sister nations have signed in Madrid an agreement of Cooperation and Mutual Defense that guarantees the development and well-being of our sister nations."
 spain.177.o1: "Long live Solidarity among Peoples!"
 spain.178.t: "Ally With Communism"
 spain.178.d: "This morning the different representatives of the sister nations have signed in Madrid an agreement of Cooperation and Mutual Defense that guarantees the development and well-being of our sister nations."
 spain.178.o1: "Long live the Internationalist Struggle!"
 spain.179.t: "Socialist Republic of Spain"
 spain.179.d: "The reforms initiated by the provisional government of Unidos Podemos have proved to be ineffective to the current situation as much social as economic, in addition the majority of its members stand out like a set of opportunists formed by arribistas and union officials, along with the continuous attacks so much From national to international level has radicalized the political situation in Spain, popular support has shifted towards the political option of the Communist Party which has staged an armed insurrection overthrowing the current provisional government, which have fled the country, adding to the Royal Family now in exile, or have been arrested by Red Guards."
 spain.179.o1: "Long live the Proletarian Revolution!"
 spain.180.t: "Dictatorship of the Proletariat"
 spain.180.d: "In Marxist sociopolitical thought, the dictatorship of the proletariat refers to a state in which the proletariat, or the working class, has control of political power."
 spain.180.o1: "Long live the Dictatorship of the Proletariat!"
 spain.181.t: "One Party State"
 spain.181.d: "The party of the proletariat, armed with revolutionary theory, must guide the working class and its allies in the struggle for the conquest of political power. This power is the instrument that allows the working class to destroy the system of capitalist exploitation and begin to build the new society."
 spain.181.o1: "Long live the Communist Party of Spain!"
 spain.182.t: "Alliance of the Working Class and the Peasantry"
 spain.182.d: "The Communist Party has the task of guiding the peasantry, to make it understand that the problems and needs it suffers, are the product of this capitalist system, that the only way out of it, is to fight against the one who snatches the land, Violent and exploits his family, the one who is capable of taking his life. And that these same problems are suffered by their comrade of struggle, the worker and that both have common interests, that only together, formed and organized politically and ideologically under Marxist Leninist theory in a political vanguard, must give the struggle for power."
 spain.182.o1: "Long live the Proletarian Revolution!"
 spain.183.t: "All power to the Soviets!"
 spain.183.d: "The hierarchical structure of the State, which runs from the bottom up and from the top down - one of the principles of the Leninist democratic centralism - is formed by successive councils, until reaching the highest authority, the Supreme Council."
 spain.183.o1: "Long live the Dictatorship of the Proletariat!"
 spain.184.t: "Council of People's Commissars"
 spain.184.d: "After the Revolution, the political power is in the hands of the councils or assemblies of the workers, peasants and soldiers. The Second Congress of Councils created and elected the first Council of People's Commissars to administer Spain on behalf of the people. The President of the Council of People's Commissars, also elected by the Congress of Councils, having a role similar to that of a prime minister."
 spain.184.o1: "Long live the Dictatorship of the Proletariat!"
 spain.185.t: "Socialist State"
 spain.185.d: "Is a state under the control of a vanguard party that is organizing the economic, social, and political affairs of the country toward the realization of socialism."
 spain.185.o1: "Long live the Proletarian Revolution!"
 spain.186.t: "Defense of the Revolution"
 spain.186.d: "The present Revolution is being attacked from the internal front as from the international front, the counter-revolutionary action must be pursued and exterminated wherever it is, this struggle will allow us to build the new revolutionary order that guarantees the survival of the present Revolution."
 spain.186.o1: "Long live the Dictatorship of the Proletariat!"
 spain.187.t: "People's Militias"
 spain.187.d: "People's Militias, also called The armed fist of the working class is a militia organisation of Communist Party of Spain. The task of the militias is to protect against guerrillas expected to appear after the takeover, against undercover agents sent to Spain and to cooperate with the police and the army. About 3,000 militiamen joined police forces. Non-communists were slowly removed from the militias."
 spain.187.o1: "Long live the Proletarian Revolution!"
 spain.188.t: "Liquidation of Class Enemies"
 spain.188.d: "A counterrevolutionary action is any action aimed at overthrowing, undermining or weakening the power of workers 'and peasants' councils, or undermining or weakening the external security of SRS and the major economic, political and national achievements of the proletarian revolution."
 spain.188.o1: "Long live the Proletarian Revolution!"
 spain.189.t: "State Security Directorate"
 spain.189.d: "Thoroughly monitor public opinion, internal subversion and possible destabilizing plots."
 spain.189.o1: "Long live the Proletarian Revolution!"
 spain.190.t: "Main Camp Administration"
 spain.190.d: "Is the government agency that administered and controlled the forced-labor camp system."
 spain.190.o1: "Long live the Proletarian Revolution!"
 spain.191.t: "Red Terror"
 spain.191.d: "The need for mass terror to "build revolutionary order"."
 spain.191.o1: "Long live the Proletarian Revolution!"
 spain.192.t: "Constitution of the Socialist Republic of Spain"
 spain.192.d: "According to Marxist-Leninist theory, the objective of the successive constitutions of the Socialist Republic of Spain is, after capitalism, to lay the foundations for the development of socialism so that the final phase of development can finally be reached Human, communism. Its nature is mainly descriptive, as it shapes established relations on paper and changes as the socioeconomic scenario changes."
 spain.192.o1: "Long live the Proletarian Revolution!"
 spain.193.t: "Proletarian Internationalism"
 spain.193.d: "Proletarian internationalism has two important elements: solidarity with the revolutionary processes of all the peoples of the world, expressed through the provision of aid to them to achieve success; And learning what they have of positive to achieve the common objectives of the revolutionary cause of the workers. Thus, just as the capitalists of all countries unite to fight for their ideas and defend their social positions and economic interests, workers of different nationalities also embrace their cause above national borders and fight in a coordinated way for their common interests . This is proletarian internationalism."
 spain.193.o1: "Proletarians of all countries, unite!"
 spain.194.t: "World Revolution"
 spain.194.d: "The world revolution refers to the need, underlined by Vladimir Lenin, that the socialist revolution be global to be durable, otherwise the expansionist dynamics of capitalism and the problems of the social structure stressed will sooner or later fall the government from the workers."
 spain.194.o1: "Long live the Internationalist Struggle!"
 spain.195.t: "Communist International"
 spain.195.d: "It groups the communist parties of different countries, whose aim is to fight for the suppression of the capitalist system, the establishment of the dictatorship of the proletariat and the International Republic of Soviets, the complete abolition of classes and the realization of socialism, as First step to communist society, as set out in its first statutes."
 spain.195.o1: "Workers of the world, unite!"
 spain.196.t: "A spectre is haunting Europe"
 spain.196.d: "At the last Conference a resolution was adopted on the need for an anti-fascist alliance of the popular movements together with Socialist Spain and the working class movements to fight against capitalism."
 spain.196.o1: "Long live the Internationalist Struggle!"
 spain.197.t: "A spectre is haunting America"
 spain.197.d: "At the last Conference a resolution was adopted on the need for an anti-imperialist alliance of the colonial and national liberation movements along with Socialist Spain and the working class movements to fight against capitalism."
 spain.197.o1: "Long live the Internationalist Struggle!"
 spain.198.t: "Communist Reality Debate"
 spain.198.d: "An invitation has been made to various socialist parties and groups, inviting them to Barcelona to hold an International Communist Conference. From this conference will be born the new Communist International."
 spain.198.o1: "Long live the Internationalist Struggle!"
 spain.199.t: "Peaceful Coexistence"
 spain.199.d: "The fundamental thing in the peaceful coexistence of the states with diverse social regime is the renunciation to the war as a means of solving the international disputes and their solution by peaceful means; Equality of rights among states, mutual understanding and trust between them; Taking into account the interests of both parties, non-interference in internal affairs, strict respect for the sovereignty and territorial integrity of all states; The development of economic and cultural collaboration based on full equality and mutual advantage. The policy of peaceful coexistence derives from the nature of socialist society, in which there are no classes or groups interested in war .... At the present time, the struggle for peaceful coexistence to avoid thermonuclear warfare has become In an important historical task not only of the working class, but, besides the overwhelming majority of the population of the world."
 spain.199.o1: "Long live Solidarity among Peoples!"
 spain.200.t: "Befriend EU"
 spain.200.d: "Recently different treaties have been signed that benefit the construction and strengthening of the Socialist State."
 spain.200.o1: "Long live Solidarity among Peoples!"
 spain.201.t: "Befriend USA"
 spain.201.d: "Recently different treaties have been signed that benefit the construction and strengthening of the Socialist State."
 spain.201.o1: "Long live Solidarity among Peoples!"
 spain.202.t: "Befriend Hispanic America"
 spain.202.d: "Recently different treaties have been signed that benefit the construction and strengthening of the Socialist State."
 spain.202.o1: "Long live Solidarity among Peoples!"
 spain.203.t: "Befriend Communist"
 spain.203.d: "Recently different treaties have been signed that benefit the construction and strengthening of the Socialist State."
 spain.203.o1: "Long live Solidarity among Peoples!"
 spain.204.t: "Counter-revolutionary"
 spain.204.d: "In the current political and social panorama of Spain, the counterrevolution has not remained passive in the face of recent events, now it has been articulated in what they call the Front of Freedom, in which they are framed from the most openly fascists, Monarchists, to the official representatives of the current Spanish oligarchy that are the PP and the PSOE. All types of subversive actions are carried out, and the direct intervention of the army to reinstate democracy in Spain is openly discussed. At the moment, it is called periodic demonstrations that often end in riots with the forces of public order."
 spain.204.o1: "Ignore them"
 spain.204.o2: "Repression"
 spain.205.t: "International Counter-revolutionary"
 spain.205.d: "From the European Union, led by Germany and France, the United States has initiated a series of measures, such as isolation and economic and commercial sanctions, with the aim of destabilizing and overthrowing the present Government, and even threaten armed intervention with The object of restoring democracy. It is known that the current Freedom Front is being financed with enormous economic parties by the capitalist Powers."
 spain.205.o1: "They be damned!"
 spain.206.t: "Revisionist Counter-revolutionary"
 spain.206.d: "In the face of the repression of the recent manifestations of the Freedom Front, from the United Formation We can have stated that the measures taken by the government are fascist and totalitarian, typical of a Stalinist regime, and that the recent increase of the resources destined to the Forces Public Order and the Armed Forces are a clear example. They have presented a resolution to alleviate these circumstances by presenting such measures as: dissolution of the State Security Corps and Forces, Dissolution of the Armed Forces, promotion of positive discrimination policies with quotas of power (both homosexual, feminine and immigrant) To repeal the controls in Border and grant the nationality to the irregular foreigners, besides a relation of measures related to the altermundismo."
 spain.206.o1: "Accept criticism"
 spain.206.o2: "Repression"
 spain.207.t: "Organized Repression"
 spain.207.d: "In order to avoid indiscriminate repression and that criminal gangs with a personal desire for profit, which were protected under the cover of parties and unions to achieve their personal goals, can act legally to establish laws aimed at the repression of terrorism, saboteurs and other class enemies."
 spain.207.o1: "Decline"
 spain.207.o2: "Law of Repression of Counter-Revolutionary Activity"
 spain.208.t: "Dilectissima Nobis"
 spain.208.d: "John Paul II has excommunicated the Government and has written an encyclical Dilectissima Nobis on the unjust situation created to the Catholic Church in Spain. The Intelligence Service informs us that it is currently detecting a significant number of papal agents who use the Spanish parish network."
 spain.208.o1: "They be damned!"
 spain.209.t: "Three Secrets of Rocío"
 spain.209.d: "The Three Secrets of Rocío consist of a series of apocalyptic visions and prophecies which were given to three young Spanishs shepherds. The first secret, a vision of Hell. The second secret along with a prediction of another world war during the reign of John Paul II, should men continue offending God and should Spain not convert. The second half requests that Spain be consecrated to the Immaculate Heart of Mary. The third secret has not been revealed and speculations have begun on its subject, from a global nuclear holocaust to the dangers that threaten the faith and life of the Christian, and therefore of the world."
 spain.209.o1: "Silly"
 spain.210.t: "Great Purge"
 spain.210.d: "Throughout the morning the United Socialist Party of Spain, resulting from the unification of the Communist Party with prominent elements of the present Revolution, issued a communiqué on the events of last night: «In the face of repeated attempts to reinstate the dictatorship in Spain of prominent members of the present Government and the infiltration of terrorists, saboteurs and agents of international imperialism, the Vanguard of the Proletariat can not remain impassive in the face of such events and therefore declares the War to Counter-revolution wherever it may be. That a series of campaigns of political repression and persecution of these elements will continue, proceeding to their public prosecution by Tribunales Revolucionarios constituted for that purpose.»"
 spain.210.o1: "Death to the revisionists"
 spain.211.t: "Case of the Iglesias-Monedero Center"
 spain.211.d: "The court martial has considered that the charges of the defendants were proven, and have issued a sentence in which all were sentenced to the maximum penalty - the execution. All defendants were charged with high treason, espionage, defeatism, terror, sabotage, undermining the military power of the RDE, provoking a military attack of foreign states against the RDE. All charges were included in the new Law of Repression of Counterrevolutionary Activity. The charges included the following points: To be part of a group for the conspiracy called "Trotskyist-Right Bloc", which describes by itself its objectives, among which would be the restoration of capitalism and the dissolution of the RDE. Connections with foreign espionage, in particular with the German imperialists (directly or through Pablo Iglesias), preparation of an armed aggression against the RDE, obtaining aid from foreign governments and the counterrevolutionary and Trotskyist emigration. Work for spy services from USA, Britain, France, Japan and Germany. To aim to direct sabotage in industry and agriculture, through sabotage of mines, train derailment, death of cattle, etc. The murder of state officials. Plan the assassination of the members of the PSUE Central Committee."
 spain.211.o1: "Death to the revisionists"
 spain.212.t: "Process of the Anarcho-Fascist Block"
 spain.212.d: "The court martial has considered that the charges of the defendants were proven, and have issued a sentence in which all were sentenced to the maximum penalty - the execution. All defendants were charged with high treason, espionage, defeatism, terror, sabotage, undermining the military power of the RDE, provoking a military attack of foreign states against the RDE. All charges were included in the new Law of Repression of Counterrevolutionary Activity. The charges included the following points: To be part of a group for the conspiracy called "Trotskyist-Right Bloc", which describes by itself its objectives, among which would be the restoration of capitalism and the dissolution of the RDE. Connections with foreign espionage, in particular with the German imperialists (directly or through Pablo Iglesias), preparation of an armed aggression against the RDE, obtaining aid from foreign governments and the counterrevolutionary and Trotskyist emigration. Work for spy services from USA, Britain, France, Japan and Germany. To aim to direct sabotage in industry and agriculture, through sabotage of mines, train derailment, death of cattle, etc. The murder of state officials. Plan the assassination of the members of the PSUE Central Committee."
 spain.212.o1: "Death to the revisionists"
 spain.213.t: "Bloc of Rights and Trotskyites"
 spain.213.d: "The court martial has considered that the charges of the defendants were proven, and have issued a sentence in which all were sentenced to the maximum penalty - the execution. All defendants were charged with high treason, espionage, defeatism, terror, sabotage, undermining the military power of the RDE, provoking a military attack of foreign states against the RDE. All charges were included in the new Law of Repression of Counterrevolutionary Activity. The charges included the following points: To be part of a group for the conspiracy called "Trotskyist-Right Bloc", which describes by itself its objectives, among which would be the restoration of capitalism and the dissolution of the RDE. Connections with foreign espionage, in particular with the German imperialists (directly or through Pablo Iglesias), preparation of an armed aggression against the RDE, obtaining aid from foreign governments and the counterrevolutionary and Trotskyist emigration. Work for spy services from USA, Britain, France, Japan and Germany. To aim to direct sabotage in industry and agriculture, through sabotage of mines, train derailment, death of cattle, etc. The murder of state officials. Plan the assassination of the members of the PSUE Central Committee."
 spain.213.o1: "Death to the revisionists"
 spain.214.t: "Counter-revolutionary"
 spain.214.d: "In the current political and social panorama of Spain, the counterrevolution has not remained passive in the face of recent events, now it has been articulated in what they call the Front of Freedom, in which they are framed from the most openly fascists, Monarchists, to the official representatives of the current Spanish oligarchy that are the PP and the PSOE. All types of subversive actions are carried out, and the direct intervention of the army to reinstate democracy in Spain is openly discussed. At the moment, it is called periodic demonstrations that often end in riots with the forces of public order."
 spain.214.o1: "Repression"
 spain.215.t: "International Counter-revolutionary"
 spain.215.d: "From the European Union, led by Germany and France, the United States has initiated a series of measures, such as isolation and economic and commercial sanctions, with the aim of destabilizing and overthrowing the present Government, and even threaten armed intervention with The object of restoring democracy. It is known that the current Freedom Front is being financed with enormous economic parties by the capitalist Powers."
 spain.215.o1: "They be damned!"
 spain.216.t: "Revisionist Counter-revolutionary"
 spain.216.d: "In the face of the repression of the recent manifestations of the Freedom Front, from the United Formation We can have stated that the measures taken by the government are fascist and totalitarian, typical of a Stalinist regime, and that the recent increase of the resources destined to the Forces Public Order and the Armed Forces are a clear example. They have presented a resolution to alleviate these circumstances by presenting such measures as: dissolution of the State Security Corps and Forces, Dissolution of the Armed Forces, promotion of positive discrimination policies with quotas of power (both homosexual, feminine and immigrant) To repeal the controls in Border and grant the nationality to the irregular foreigners, besides a relation of measures related to the altermundismo."
 spain.216.o1: "Repression"
 spain.217.t: "Organized Repression"
 spain.217.d: "In order to avoid indiscriminate repression and that criminal gangs with a personal desire for profit, which were protected under the cover of parties and unions to achieve their personal goals, can act legally to establish laws aimed at the repression of terrorism, saboteurs and other class enemies."
 spain.217.o1: "Law of Repression of Counter-Revolutionary Activity"
 spain.218.t: "Great Purge"
 spain.218.d: "Throughout the morning the Communist Party of Spain issued a communiqué on the events of last night: «In the face of repeated attempts to reinstate the dictatorship in Spain and the infiltration of terrorists, saboteurs and agents of international imperialism, the Vanguard of the Proletariat can not remain impassive in the face of such events and therefore declares the War to Counter-revolution wherever it may be. That a series of campaigns of political repression and persecution of these elements will continue, proceeding to their public prosecution by Tribunales Revolucionarios constituted for that purpose.»"
 spain.218.o1: "Death to the revisionists"
 spain.219.t: "Case of the Iglesias-Monedero Center"
 spain.219.d: "The court has found that the charges of the defendants were proven, and have issued a sentence in which all were sentenced to the maximum penalty - the execution. All defendants were charged with high treason, espionage, defeatism, terror, sabotage, undermining the military power of SSR, provoking a military attack by foreign states against SSR. All charges were included in the new Law of Repression of Counter-Revolutionary Activity. The charges included the following points: Being part of a group for the conspiracy called "Iglesias-Monedero Opposition Block", which describes by its own objectives, among which would be the restoration of capitalism and the dissolution of SSR. Connections with foreign espionage, in particular, with the German imperialists (directly or through Pablo Iglesias), preparation of an armed aggression against SSR, obtaining assistance from foreign governments and from counterrevolutionary and Trotskyist emigration. Work for spy services from USA, Britain, France, Japan and Germany. To aim to direct sabotage in industry and agriculture, through mine sabotage, train derailment, death of cattle, etc. The murder of state officials. Plan the assassination of the members of the Central Committee of the PCE."
 spain.219.o1: "Death to the revisionists"
 spain.220.t: "Process of the Anarcho-Fascist Block"
 spain.220.d: "The court has found that the charges of the defendants were proven, and have issued a sentence in which all were sentenced to the maximum penalty - the execution. All defendants were charged with high treason, espionage, defeatism, terror, sabotage, undermining the military power of the SSR, provoking a military attack of foreign states against SSR. All charges were included in the new Law of Repression of Counter-Revolutionary Activity. The charges included the following points: Being part of a group for the conspiracy called "Anarcho-Fascist Bloc", which describes by itself its objectives, among which would be the restoration of capitalism and the dissolution of the SSR. Connections with foreign espionage, in particular with the German imperialists, the preparation of an armed aggression against the SSR, obtaining help from foreign governments and from the counterrevolutionary and Trotskyist emigration. Work for spy services from USA, Britain, France, Japan and Germany. To aim to direct sabotage in industry and agriculture, through mine sabotage, train derailment, death of cattle, etc. The murder of state officials. Plan the assassination of the members of the Central Committee of the PCE."
 spain.220.o1: "Death to the revisionists"
 spain.221.t: "Bloc of Rights and Trotskyites"
 spain.221.d: "The court has found that the charges of the defendants were proven, and have issued a sentence in which all were sentenced to the maximum penalty - the execution. All defendants were charged with high treason, espionage, defeatism, terror, sabotage, undermining the military power of the SSR, provoking a military attack of foreign states against SSR. All charges were included in the new Law of Repression of Counter-Revolutionary Activity. The charges included the following points: To be part of a group for the conspiracy called "Trotskyist-Right Bloc", which describes by itself its objectives, among which would be the restoration of capitalism and the dissolution of the SSR. Connections with foreign espionage, in particular, with the German imperialists (directly or through Iñigo Errejón), the preparation of an armed aggression against the SRH, obtaining help from foreign governments and from the counterrevolutionary and Trotskyist emigration. Work for spy services from USA, Britain, France, Japan and Germany. To aim to direct sabotage in industry and agriculture, through mine sabotage, train derailment, death of cattle, etc. The murder of state officials. Plan the assassination of the members of the Central Committee of the PCE."
 spain.221.o1: "Death to the revisionists"
 spain.222.t: "Collective Ownership"
 spain.222.d: "In socializing the production, in the socialist regime, a concordance between the relations of production and the state of the productive forces is established, because the social character of the production agrees with the social property over the means of production. In this way it is possible to plan all the branches of the national economy in a planned way."
 spain.222.o1: "Building the New Society"
 spain.223.t: "Foreign Trade"
 spain.223.d: "The foreign trade of the countries of the socialist community develops from the international socialist division of labor. It facilitates the economic approximation of countries, the leveling of their degrees of economic development, the consolidation of the world socialist economy. The foreign trade of the socialist countries with the developing countries contributes to that they strengthen their state sovereignty and their economic independence."
 spain.223.o1: "Long live Solidarity among Peoples!"
 spain.224.t: "Nationalization of Electric Industry"
 spain.224.d: "Revolutionary abolition of the ownership of the exploiting classes by the proletarian state and transformation of it into state socialist property (of the whole people). Socialist nationalization constitutes an objective necessity, a very important part of the revolutionary process that leads from capitalism to socialism, and it follows from the requirements of the law of the correspondence between the relations of production and the character of the productive forces, is one of The general laws of the socialist revolution and the building of socialism. It liquidates capitalist property and that of landlords on the means of production, ends the political domination of the exploiting classes, creates the socialist type of economy."
 spain.224.o1: "Building the New Society"
 spain.225.t: "Nationalization of Oil Industry"
 spain.225.d: "Revolutionary abolition of the ownership of the exploiting classes by the proletarian state and transformation of it into state socialist property (of the whole people). Socialist nationalization constitutes an objective necessity, a very important part of the revolutionary process that leads from capitalism to socialism, and it follows from the requirements of the law of the correspondence between the relations of production and the character of the productive forces, is one of The general laws of the socialist revolution and the building of socialism. It liquidates capitalist property and that of landlords on the means of production, ends the political domination of the exploiting classes, creates the socialist type of economy."
 spain.225.o1: "Building the New Society"
 spain.226.t: "Nationalization of Banks"
 spain.226.d: "Revolutionary abolition of the ownership of the exploiting classes by the proletarian state and transformation of it into state socialist property (of the whole people). Socialist nationalization constitutes an objective necessity, a very important part of the revolutionary process that leads from capitalism to socialism, and it follows from the requirements of the law of the correspondence between the relations of production and the character of the productive forces, is one of The general laws of the socialist revolution and the building of socialism. It liquidates capitalist property and that of landlords on the means of production, ends the political domination of the exploiting classes, creates the socialist type of economy."
 spain.226.o1: "Building the New Society"
 spain.227.t: "Nationalization of Steel Industry"
 spain.227.d: "Revolutionary abolition of the ownership of the exploiting classes by the proletarian state and transformation of it into state socialist property (of the whole people). Socialist nationalization constitutes an objective necessity, a very important part of the revolutionary process that leads from capitalism to socialism, and it follows from the requirements of the law of the correspondence between the relations of production and the character of the productive forces, is one of The general laws of the socialist revolution and the building of socialism. It liquidates capitalist property and that of landlords on the means of production, ends the political domination of the exploiting classes, creates the socialist type of economy."
 spain.227.o1: "Building the New Society"
 spain.228.t: "Supreme Council of the National Economy"
 spain.228.d: "The SCNE is the supreme organ of the management of the economy"
 spain.228.o1: "Building the New Society"
 spain.229.t: "New Economic Policy"
